TUR,PRIV,2014,24.307
TUR,PRIV,2015,24.928
TUR,PRIV,2016,
IND,PRIV,2013,
IND,PRIV,2014,
IND,PRIV,2015,
IND,PRIV,2016,
FIN,PRIV,2013,3.922
FIN,PRIV,2014,3.516
FIN,PRIV,2015,3.42
FIN,PRIV,2016,
GRC,PRIV,2013,12.495
GRC,PRIV,2014,14.003
GRC,PRIV,2015,11.565
GRC,PRIV,2016,
IRL,PRIV,2013,22.261
IRL,PRIV,2014,25.725
IRL,PRIV,2015,26.389
IRL,PRIV,2016,
KOR,PRIV,2013,67.338
KOR,PRIV,2014,65.669
KOR,PRIV,2015,63.866
KOR,PRIV,2016,
AUS,PRIV,2013,57.51
AUS,PRIV,2014,61.24
AUS,PRIV,2015,62.18
AUS,PRIV,2016,
CAN,PRIV,2013,50.304
CAN,PRIV,2014,51.399
CAN,PRIV,2015,50.616
CAN,PRIV,2016,
CHE,PRIV,2013,
CHE,PRIV,2014,
CHE,PRIV,2015,
CHE,PRIV,2016,
USA,PRIV,2013,63.674
USA,PRIV,2014,65.257
USA,PRIV,2015,64.795
USA,PRIV,2016,
ARG,PRIV,2013,6.689
ARG,PRIV,2014,13.963
ARG,PRIV,2015,
ARG,PRIV,2016,
RUS,PRIV,2013,34.818
RUS,PRIV,2014,33.617
RUS,PRIV,2015,34.952
RUS,PRIV,2016,
PRT,PRIV,2013,38.247
PRT,PRIV,2014,34.262
PRT,PRIV,2015,31.586
PRT,PRIV,2016,
SWE,PRIV,2013,10.015
SWE,PRIV,2014,10.44
SWE,PRIV,2015,11.279
SWE,PRIV,2016,
GBR,PRIV,2013,41.103
GBR,PRIV,2014,69.383
GBR,PRIV,2015,71.406
GBR,PRIV,2016,
EST,PRIV,2013,13.689
EST,PRIV,2014,19.95
EST,PRIV,2015,23.846
EST,PRIV,2016,
BEL,PRIV,2013,10.073
BEL,PRIV,2014,11.442
BEL,PRIV,2015,14.206
BEL,PRIV,2016,
DNK,PRIV,2013,5.807
DNK,PRIV,2014,5.159
DNK,PRIV,2015,
DNK,PRIV,2016,
DEU,PRIV,2013,14.032
DEU,PRIV,2014,13.958
DEU,PRIV,2015,15.286
DEU,PRIV,2016,
ISL,PRIV,2013,8.369
ISL,PRIV,2014,8.507
ISL,PRIV,2015,8.264
ISL,PRIV,2016,
CHN,PRIV,2013,
CHN,PRIV,2014,
CHN,PRIV,2015,
CHN,PRIV,2016,
COL,PRIV,2013,57.311
COL,PRIV,2014,50.14
COL,PRIV,2015,54.319
COL,PRIV,2016,63.886
LVA,PRIV,2013,29.346
LVA,PRIV,2014,20.066
LVA,PRIV,2015,22.617
LVA,PRIV,2016,
CRI,PRIV,2013,40.581
CRI,PRIV,2014,
CRI,PRIV,2015,
CRI,PRIV,2016,
LTU,PRIV,2013,23.776
LTU,PRIV,2014,22.379
LTU,PRIV,2015,25.011
LTU,PRIV,2016,
